date,year,change_in_opr,new_opr_level
2015-01-28,2015,0.0,3.25
2015-03-05,2015,0.0,3.25
2015-05-07,2015,0.0,3.25
2015-07-09,2015,0.0,3.25
2015-09-11,2015,0.0,3.25
2015-11-05,2015,0.0,3.25
2016-01-21,2016,0.0,3.25
2016-03-09,2016,0.0,3.25
2016-05-19,2016,0.0,3.25
2016-07-13,2016,-0.25,3.0
2016-09-07,2016,0.0,3.0
2016-11-23,2016,0.0,3.0
2017-01-19,2017,0.0,3.0
2017-03-02,2017,0.0,3.0
2017-05-12,2017,0.0,3.0
2017-07-13,2017,0.0,3.0
2017-09-07,2017,0.0,3.0
2017-11-09,2017,0.0,3.0
2018-01-25,2018,0.25,3.25
2018-03-07,2018,0.0,3.25
2018-05-10,2018,0.0,3.25
2018-07-11,2018,0.0,3.25
2018-09-05,2018,0.0,3.25
2018-11-08,2018,0.0,3.25
2019-01-24,2019,0.0,3.25
2019-03-05,2019,0.0,3.25
2019-05-07,2019,-0.25,3.0
2019-07-09,2019,0.0,3.0
2019-09-12,2019,0.0,3.0
2019-11-05,2019,0.0,3.0
2020-01-22,2020,-0.25,2.75
2020-03-03,2020,-0.25,2.5
2020-05-05,2020,-0.5,2.0
2020-07-07,2020,-0.25,1.75
2020-09-10,2020,0.0,1.75
2020-11-03,2020,0.0,1.75
2021-01-20,2021,0.0,1.75
2021-03-04,2021,0.0,1.75
2021-05-06,2021,0.0,1.75
2021-07-08,2021,0.0,1.75
2021-09-09,2021,0.0,1.75
2021-11-03,2021,0.0,1.75
2022-01-20,2022,0.0,1.75
2022-03-03,2022,0.0,1.75
2022-05-11,2022,0.25,2.0
2022-07-06,2022,0.25,2.25
2022-09-08,2022,0.25,2.5
2022-11-03,2022,0.25,2.75
2023-01-19,2023,0.0,2.75
2023-03-09,2023,0.0,2.75
2023-05-03,2023,0.25,3.0
2023-07-06,2023,0.0,3.0
2023-09-07,2023,0.0,3.0
2023-11-02,2023,0.0,3.0
2024-01-24,2024,0.0,3.0
2024-03-07,2024,0.0,3.0
2024-05-09,2024,0.0,3.0
2024-07-11,2024,0.0,3.0
2024-09-05,2024,0.0,3.0
2024-11-06,2024,0.0,3.0
2025-01-22,2025,0.0,3.0
2025-03-06,2025,0.0,3.0
2025-05-08,2025,0.0,3.0
2025-07-09,2025,-0.25,2.75
2025-09-04,2025,0.0,2.75
2025-11-06,2025,0.0,2.75
2026-01-22,2026,0.0,2.75
2026-03-05,2026,0.0,2.75
2026-05-07,2026,0.0,2.75
